n,gamma,a1_re,a1_im
256,361.197493036209,1.66828599e+01,2.24033817e+01
257,362.276968893167,9.70964846e+00,8.04003595e+00
258,364.419724431835,-2.97068803e+01,2.45739424e+00
259,364.803736092112,1.91794040e+01,2.68039566e+01
260,366.049689518269,2.22333513e+00,1.30486289e+01
261,367.125534935075,2.43771028e+00,1.25374500e+01
262,368.433814889808,-1.74726046e+00,1.40934783e+01
263,369.501693331896,3.68553905e+00,1.25292083e+01
264,371.069016090565,-1.17905578e+01,1.13089956e+01
265,371.770095915150,4.82202095e+00,1.79341653e+01
266,372.884860886591,2.64332257e+00,1.53872520e+01
267,373.934868915462,6.42156143e+00,1.12585583e+01
268,375.546874727008,-5.81390607e+00,1.08887661e+01
269,376.683900937975,-7.51558860e+00,1.56709501e+01
270,377.559223274185,2.08713793e+00,1.95678998e+01
271,378.386929045762,1.07991523e+01,1.00169037e+01
272,380.057073182314,-6.40316376e+00,1.21526765e+01
273,381.048670123035,1.63311054e+00,1.58990807e+01
274,382.239766419016,4.33695881e-01,1.26356330e+01
275,383.485092354203,-7.43791923e+00,1.34914758e+01
276,384.372845681681,1.69498712e+00,2.12821711e+01
277,385.215227671810,1.27261509e+01,8.87646503e+00
278,387.149209287631,-1.13769544e+01,8.71582030e+00
279,388.082142477715,-7.78221795e+00,2.18539397e+01
280,388.777717961853,1.25331537e+01,1.35557326e+01
281,390.169112628897,-2.56018757e+00,1.45075273e+01
282,391.081925719961,7.14056384e+00,1.22330722e+01
283,392.851762913362,-1.66992858e+01,1.23424060e+01
284,393.443407711011,1.20237607e+01,1.75351631e+01
285,394.819997091794,-4.04879519e+00,1.29213436e+01
286,395.804609603418,-4.79162354e-01,1.82752394e+01
287,396.734455422549,8.98011835e+00,1.27708281e+01
288,398.250415976738,-2.19362541e+00,1.14587375e+01
289,399.565510922143,-9.50039167e+00,1.24906641e+01
290,400.692875768712,-7.39381357e+01,6.06664378e+01
291,400.826430942255,8.70382471e+01,-2.58116424e+01
292,402.818318458900,-5.76316742e+00,1.12808004e+01
293,403.907405043484,-2.83954787e+00,1.68199351e+01
294,404.945586220612,2.49268189e+00,1.48081236e+01
295,406.161247797888,-4.02043261e+00,1.37586365e+01
296,407.145015561887,-7.66795547e-01,1.90205696e+01
297,408.039526672954,9.95522224e+00,1.27501141e+01
